Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_LD, se_LD, t_LD, est_NDVI, se_NDVI, t_NDVI, est_RF, se_RF, t_RF, est_GP, se_GP, t_GP, est_CC1, se_CC1, t_CC1, est_TDS1, se_TDS1, t_TDS1, est_Sl1, se_Sl1, t_Sl1, est_DD1, se_DD1, t_DD1, est_Lf1, se_Lf1, t_Lf1, est_STC1, se_STC1, t_STC1, est_LULC1, se_LULC1, t_LULC1, est_Geol1, se_Geol1, t_Geol1, y, yhat, residual, std_residual, localR2, influence, CooksD
0,1,833664.6972,1708753,-6.70267,1.347844,-4.972882,0.358055,0.018077,19.807473,0.201058,0.041873,4.80166,0.012086,0.000895,13.501965,-0.062008,0.008168,-7.591526,1.583663,0.035214,44.972519,-1.926049,0.789084,-2.440865,-0.007731,0.005022,-1.53946,0.031628,0.004114,7.688522,-0.001241,0.002268,-0.547377,0.000287,0.000097,2.94679,-0.003599,0.005369,-0.670357,-0.000257,0.000034,-7.45616,0.092106,0.052607,0.039499,1.208912,0.967468,0.048504,0.00039
1,2,855664.6972,1671753,44.050705,5.055345,8.713689,-6.225654,0.362648,-17.167208,-0.012054,0.042074,-0.286505,0.003292,0.000984,3.347362,-0.011594,0.00511,-2.268895,1.861512,0.064779,28.736228,-27.415645,2.675856,-10.245562,0.005431,0.005055,1.07444,-0.002585,0.004744,-0.544828,-0.009581,0.002569,-3.729115,-0.000001,0.000127,-0.005796,-0.009738,0.00257,-3.788503,0.00024,0.00004,5.976035,0.732012,0.742392,-0.01038,-0.31877,0.978662,0.054908,0.000031
2,3,848664.6972,1713753,-46.993755,1.629749,-28.834959,0.167695,0.024382,6.877714,0.054837,0.045298,1.210599,0.020261,0.001386,14.622011,0.029118,0.004379,6.649465,0.595626,0.033201,17.940204,20.551308,0.837747,24.531645,-0.009083,0.004968,-1.828066,0.007279,0.004534,1.605284,-0.003851,0.002289,-1.682766,0.000023,0.000088,0.265315,0.003749,0.002987,1.254983,0.000055,0.000031,1.788458,0.273854,0.275571,-0.001718,-0.052596,0.982153,0.04926,0.000001
3,5,862664.6972,1701753,-19.372076,0.980261,-19.762166,0.005648,0.057862,0.097606,0.034768,0.041257,0.84272,-0.01488,0.000962,-15.465251,-0.021569,0.009408,-2.2926,0.706882,0.008293,85.238916,9.713955,0.438408,22.157342,0.000159,0.004116,0.038539,0.002167,0.003905,0.554947,0.002897,0.002338,1.239075,0.000078,0.000085,0.912033,0.004913,0.001633,3.008592,0.000021,0.000027,0.794803,0.361009,0.362464,-0.001455,-0.056295,0.991132,0.404839,0.000011
4,6,877630.4207,1712571.825,-24.058376,2.310685,-10.411796,-0.499605,0.068921,-7.248908,-0.048635,0.04312,-1.127888,0.004299,0.001004,4.280551,-0.065633,0.009661,-6.793967,0.923716,0.02567,35.984665,9.637921,1.184396,8.137418,0.003789,0.003974,0.953559,0.000014,0.003725,0.003795,0.001873,0.002487,0.753428,0.000047,0.000109,0.434381,0.000084,0.001456,0.057695,-0.000021,0.00003,-0.695033,1.32013,1.312966,0.007163,0.217291,0.994522,0.031328,0.000008
5,7,839664.6972,1680753,-24.901583,1.220885,-20.396344,1.08646,0.062218,17.462234,-0.07868,0.042844,-1.836453,-0.00645,0.001257,-5.129832,-0.018797,0.005686,-3.305585,1.157278,0.024183,47.855793,10.473354,0.560777,18.676518,-0.010308,0.004684,-2.200539,0.007774,0.003397,2.288537,0.000399,0.00241,0.165677,0.000089,0.000094,0.945789,0.001756,0.001294,1.356927,-0.000024,0.000036,-0.667589,0.100707,0.113932,-0.013226,-0.408277,0.991292,0.064701,0.00006
6,8,873664.6972,1701753,-27.520606,1.332776,-20.649092,-0.59917,0.073856,-8.112635,-0.02332,0.042425,-0.549676,0.003984,0.001164,3.421518,-0.016056,0.009377,-1.712352,0.864288,0.00886,97.547194,11.598394,0.606774,19.114839,-0.000337,0.00415,-0.081149,-0.00606,0.003995,-1.516756,0.000572,0.002511,0.227715,0.000024,0.000099,0.241844,-0.000373,0.001539,-0.242133,-0.000003,0.00003,-0.108492,1.215887,1.210041,0.005846,0.183211,0.998039,0.092615,0.000018
7,9,837664.6972,1714753,-8.406773,1.458825,-5.7627,0.183623,0.015937,11.521842,0.188427,0.047327,3.981347,0.01215,0.001058,11.486853,0.022166,0.005834,3.799153,1.516943,0.03599,42.148514,-0.968228,0.824756,-1.173957,-0.019983,0.005271,-3.791303,0.023377,0.004587,5.095905,0.009343,0.002404,3.887062,-0.000147,0.000105,-1.393162,-0.003635,0.005978,-0.608073,-0.000226,0.000036,-6.36345,0.567856,0.460012,0.107844,3.293161,0.953248,0.044169,0.002626
8,10,827687.3125,1703770.704,-12.097421,1.122104,-10.781016,0.495323,0.019799,25.017367,0.086213,0.038301,2.250914,0.007693,0.00081,9.501602,0.001879,0.005144,0.365231,1.383694,0.030093,45.979989,1.783494,0.654502,2.724964,-0.001867,0.004895,-0.38141,0.010259,0.003545,2.893993,-0.004668,0.002166,-2.155358,0.000113,0.000089,1.274344,0.004533,0.00445,1.018495,-0.000093,0.000031,-3.040617,0.097234,0.111547,-0.014313,-0.443295,0.983063,0.070889,0.000079
9,11,854664.6972,1709753,-34.867127,1.095629,-31.823836,0.112775,0.038244,2.948863,0.144909,0.044495,3.256778,-0.00059,0.000878,-0.671993,-0.031766,0.005408,-5.873761,0.70782,0.020265,34.928224,16.228061,0.559123,29.024122,0.009964,0.004883,2.040508,0.009531,0.004116,2.31527,-0.008971,0.002244,-3.996819,0.000229,0.00008,2.875684,0.005849,0.002057,2.843111,0.000227,0.000026,8.710626,0.168854,0.175776,-0.006922,-0.210822,0.972858,0.039063,0.000009
10,12,827870.6816,1703116.677,-12.467228,1.059292,-11.769394,0.498404,0.01905,26.163166,0.071635,0.036689,1.952531,0.006917,0.000748,9.253053,0.000715,0.004931,0.14498,1.385217,0.028575,48.476957,2.049997,0.613689,3.34045,-0.002276,0.004674,-0.487018,0.008472,0.00338,2.506271,-0.004612,0.002087,-2.210166,0.000115,0.000084,1.374656,0.005296,0.00381,1.390293,-0.000069,0.000029,-2.408016,0.087134,0.102552,-0.015419,-0.486038,0.983821,0.103036,0.000142
11,13,843664.6972,1694753,-30.638088,1.000582,-30.62026,1.042457,0.036617,28.469496,-0.325416,0.039336,-8.27267,-0.003902,0.000896,-4.355374,-0.013531,0.00558,-2.425063,1.128543,0.030373,37.155607,13.275226,0.539846,24.590766,-0.020933,0.00425,-4.925241,-0.008218,0.004483,-1.833049,-0.007422,0.002238,-3.315781,-0.000123,0.000078,-1.577903,0.005675,0.001565,3.625867,0.000108,0.000031,3.531321,-0.100284,-0.056796,-0.043488,-1.325795,0.986614,0.041016,0.000394
12,14,866664.6972,1697753,-28.068111,0.894289,-31.385965,-0.395957,0.082099,-4.822952,0.006673,0.042591,0.156678,-0.001426,0.001194,-1.194733,-0.011833,0.009774,-1.21064,0.760638,0.008456,89.951818,12.692884,0.387825,32.728401,0.002114,0.00438,0.482663,-0.001738,0.004153,-0.418595,0.001983,0.002485,0.797923,0.000143,0.000103,1.387999,0.000068,0.001856,0.036794,-0.000033,0.000033,-1.020888,0.900453,0.911982,-0.011529,-0.356058,0.994795,0.065543,0.000047
13,15,835664.6972,1701753,-16.706283,1.255443,-13.307085,0.658552,0.022541,29.215293,0.02414,0.039276,0.614631,0.000025,0.000979,0.025591,0.002507,0.005362,0.467603,1.349207,0.034362,39.264518,5.026442,0.709919,7.080303,-0.001471,0.00488,-0.30152,0.00936,0.004096,2.285413,-0.001845,0.002324,-0.793927,0.000269,0.000087,3.094026,0.005773,0.004107,1.405807,-0.000128,0.000034,-3.784508,-0.141373,-0.129258,-0.012114,-0.368364,0.972128,0.036011,0.000027
14,16,832664.6972,1680753,-15.243463,1.612035,-9.456038,0.256852,0.110191,2.330969,-0.118232,0.041941,-2.81899,-0.001532,0.001628,-0.940867,-0.014372,0.005447,-2.638705,1.618447,0.055126,29.359019,3.80967,0.797055,4.779685,-0.000713,0.004495,-0.15859,-0.006849,0.003468,-1.974735,0.000443,0.002385,0.185627,0.00002,0.000088,0.229151,-0.000132,0.001284,-0.103112,0.000007,0.000035,0.194768,-0.342738,-0.341824,-0.000913,-0.028391,0.986129,0.077869,0
15,17,884664.6972,1716753,-23.434428,3.169568,-7.393572,-0.212691,0.090588,-2.347904,-0.070151,0.054706,-1.28231,0.005925,0.0012,4.936233,-0.034838,0.010822,-3.219262,1.006617,0.045503,22.12196,8.877898,1.681632,5.279333,0.003466,0.004883,0.70991,0.0012,0.004238,0.283185,0.001636,0.003005,0.544263,0.000021,0.000148,0.143061,0.000856,0.001826,0.468836,0.000014,0.000041,0.344583,1.094239,1.063511,0.030728,1.013582,0.991728,0.180822,0.001188
16,18,840664.6972,1716753,-20.265222,1.388604,-14.593951,0.213988,0.015985,13.38638,0.023582,0.045271,0.520909,0.006687,0.001241,5.387012,0.079004,0.005176,15.263396,1.201736,0.035487,33.864364,6.535914,0.761105,8.587402,-0.01842,0.005033,-3.659985,0.005334,0.004275,1.247577,0.004453,0.002331,1.910062,-0.000136,0.0001,-1.353994,0.001774,0.005048,0.351501,-0.000196,0.000033,-5.993587,0.250436,0.169317,0.081119,2.474709,0.957684,0.042324,0.001418
17,19,854664.6972,1714753,-39.943927,1.613373,-24.758017,0.029905,0.041059,0.728331,0.101777,0.0489,2.081343,0.001489,0.001152,1.293023,-0.021047,0.005592,-3.76363,0.781,0.030967,25.220442,18.423953,0.852393,21.614391,0.00114,0.005627,0.202572,-0.009846,0.004533,-2.171961,-0.004315,0.002575,-1.675643,0.000127,0.000096,1.316743,0.004789,0.002028,2.361678,0.000151,0.00003,5.018549,0.208665,0.218804,-0.01014,-0.316897,0.981665,0.087538,0.00005
